player_name,team,pos,pass_yds,pass_td,pass_int,rush_yds,rush_td,rec,rec_yds,rec_td,fantasy_points,replacement_fp,VORP,Tier
Kenny Pickett,LV,QB,123.2,0.6,0.3,8.5,0.0,0,0,0,7.58,287.21,-279.63,15
Mitchell Trubisky,BUF,QB,118.1,0.7,0.4,7.9,0.0,0,0,0,7.51,287.21,-279.7,15
Kirk Cousins,ATL,QB,129.9,0.7,0.6,6.3,0.0,0,0,0,7.43,287.21,-279.78,15
Jarrett Stidham,DEN,QB,116.2,0.7,0.4,7.6,0.0,0,0,0,7.41,287.21,-279.8,15
Nick Mullens,JAC,QB,127.1,0.7,0.6,6.5,0.0,0,0,0,7.33,287.21,-279.88,15
Tyson Bagent,CHI,QB,115.0,0.6,0.4,11.1,0.0,0,0,0,7.31,287.21,-279.9,15
Davis Mills,HOU,QB,116.1,0.7,0.4,6.4,0.0,0,0,0,7.28,287.21,-279.93,15
Teddy Bridgewater,TB,QB,120.6,0.7,0.6,8.0,0.0,0,0,0,7.22,287.21,-279.99,15
Carson Wentz,MIN,QB,109.2,0.7,0.6,11.6,0.0,0,0,0,7.13,287.21,-280.08,15
Kyle Allen,DET,QB,107.6,0.6,0.1,1.3,0.0,0,0,0,6.63,287.21,-280.58,15
Sam Howell,PHI,QB,91.3,0.8,0.4,4.7,0.0,0,0,0,6.52,287.21,-280.69,15
Trey Lance,LAC,QB,110.9,0.4,0.4,12.5,0.0,0,0,0,6.49,287.21,-280.72,15
Drew Lock,SEA,QB,109.2,0.6,0.6,6.0,0.0,0,0,0,6.17,287.21,-281.04,15
Deshaun Watson,CLE,QB,99.0,0.5,0.5,12.0,0.0,0,0,0,6.16,287.21,-281.05,15
Brandon Allen,TEN,QB,110.2,0.6,0.6,5.0,0.0,0,0,0,6.11,287.21,-281.1,15
Quinn Ewers,MIA,QB,100.0,0.5,0.5,7.0,0.0,0,0,0,5.7,287.21,-281.51,15
Graham Mertz,HOU,QB,59.5,0.5,0.0,4.0,0.0,0,0,0,4.78,287.21,-282.43,15
Will Howard,PIT,QB,44.5,0.5,0.0,3.0,0.0,0,0,0,4.08,287.21,-283.13,15
Josh Johnson,WAS,QB,36.3,0.2,0.2,0.0,0.0,0,0,0,1.85,287.21,-285.36,15
 ,0,QB,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,287.21,-287.21,15
Case Keenum,CHI,QB,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,287.21,-287.21,15
Trevor Siemian,TEN,QB,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,287.21,-287.21,15
C.J. Beathard,DET,QB,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,287.21,-287.21,15
Mike White,CAR,QB,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,287.21,-287.21,15
John Wolford,MIN,QB,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,287.21,-287.21,15
Brett Rypien,IND,QB,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,287.21,-287.21,15
Easton Stick,ATL,QB,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,287.21,-287.21,15
Tyler Huntley,BAL,QB,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,287.21,-287.21,15
Shane Buechele,BUF,QB,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,287.21,-287.21,15
Sam Ehlinger,DEN,QB,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,287.21,-287.21,15
Sean Clifford,CIN,QB,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,287.21,-287.21,15
Will Levis,TEN,QB,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,287.21,-287.21,15
Kyle McCord,PHI,QB,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,287.21,-287.21,15
Stetson Bennett IV,LAR,QB,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,287.21,-287.21,15
Bailey Zappe,CLE,QB,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,287.21,-287.21,15
Skylar Thompson,PIT,QB,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,287.21,-287.21,15
Chris Oladokun,KC,QB,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,287.21,-287.21,15
Jake Haener,NO,QB,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,287.21,-287.21,15
Clayton Tune,GB,QB,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,287.21,-287.21,15
Riley Leonard,IND,QB,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,287.21,-287.21,15
Tommy DeVito,NE,QB,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,287.21,-287.21,15
Kurtis Rourke,SF,QB,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,287.21,-287.21,15
Cam Miller,LV,QB,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,287.21,-287.21,15
