player_name,team,pos,pass_yds,pass_td,pass_int,rush_yds,rush_td,rec,rec_yds,rec_td,fantasy_points,replacement_fp,VORP,Tier,removed_at
Josh Allen,BUF,QB,3904.1,29.0,10.4,572.5,10.7,0,0,0,372.81,287.21,85.6,1,2025-11-06T14:46:52
Jalen Hurts,PHI,QB,3530.8,23.6,8.6,633.6,12.7,0,0,0,357.99,287.21,70.78,2,2025-11-06T14:46:52
