player_name,team,pos,pass_yds,pass_td,pass_int,rush_yds,rush_td,rec,rec_yds,rec_td,fantasy_points,replacement_fp,VORP
Lamar Jackson,BAL,QB,3859.3,32.3,8.2,828.1,3.9,0,0,0,373.38,287.21,86.17
Josh Allen,BUF,QB,3904.1,29.0,10.4,572.5,10.7,0,0,0,372.81,287.21,85.6
Jalen Hurts,PHI,QB,3530.8,23.6,8.6,633.6,12.7,0,0,0,357.99,287.21,70.78
Jayden Daniels,WAS,QB,3853.7,26.7,10.5,750.1,5.7,0,0,0,349.16,287.21,61.95
Joe Burrow,CIN,QB,4625.6,35.7,10.4,179.7,2.1,0,0,0,337.59,287.21,50.38
Patrick Mahomes II,KC,QB,4259.5,30.3,12.1,365.6,2.8,0,0,0,320.74,287.21,33.53
Kyler Murray,ARI,QB,3808.4,24.2,11.1,551.7,5.1,0,0,0,312.71,287.21,25.5
Baker Mayfield,TB,QB,4151.0,32.7,14.6,288.5,2.6,0,0,0,312.09,287.21,24.88
Brock Purdy,SF,QB,4276.1,27.0,12.4,279.0,3.6,0,0,0,303.74,287.21,16.53
Bo Nix,DEN,QB,3789.9,27.4,12.0,423.3,3.5,0,0,0,300.53,287.21,13.32
Justin Fields,NYJ,QB,3232.9,19.3,10.8,744.3,6.1,0,0,0,295.95,287.21,8.74
Caleb Williams,CHI,QB,3750.6,23.8,10.3,469.9,2.6,0,0,0,287.21,287.21,0.0
Justin Herbert,LAC,QB,3943.9,25.6,8.5,272.0,2.6,0,0,0,285.96,287.21,-1.25
Dak Prescott,DAL,QB,4255.9,27.6,12.1,178.1,1.9,0,0,0,285.65,287.21,-1.56
J.J. McCarthy,MIN,QB,4045.6,28.5,14.4,258.2,2.1,0,0,0,285.44,287.21,-1.77
Jared Goff,DET,QB,4336.6,29.9,11.4,61.5,0.5,0,0,0,279.41,287.21,-7.8
C.J. Stroud,HOU,QB,4056.7,24.9,10.6,256.8,1.7,0,0,0,276.55,287.21,-10.66
Drake Maye,NE,QB,3568.8,22.7,12.7,491.5,3.1,0,0,0,275.9,287.21,-11.31
Trevor Lawrence,JAC,QB,3973.4,23.4,13.0,252.2,3.1,0,0,0,270.36,287.21,-16.85
Jordan Love,GB,QB,3888.3,27.6,12.1,166.9,1.9,0,0,0,269.82,287.21,-17.39
Bryce Young,CAR,QB,3638.6,21.7,12.0,294.8,3.5,0,0,0,258.82,287.21,-28.39
Tua Tagovailoa,MIA,QB,4133.4,26.0,11.9,86.1,0.5,0,0,0,257.15,287.21,-30.06
Michael Penix Jr.,ATL,QB,3913.2,23.5,13.4,196.6,2.1,0,0,0,255.99,287.21,-31.22
Geno Smith,LV,QB,3952.9,22.0,13.4,242.4,1.7,0,0,0,253.76,287.21,-33.45
Matthew Stafford,LAR,QB,4023.0,25.7,10.9,72.6,0.7,0,0,0,253.38,287.21,-33.83
Cam Ward,TEN,QB,3642.6,21.8,13.8,330.1,2.4,0,0,0,252.71,287.21,-34.5
Sam Darnold,SEA,QB,3793.5,22.7,13.8,205.3,1.9,0,0,0,246.87,287.21,-40.34
Aaron Rodgers,PIT,QB,3738.8,22.9,9.7,80.5,0.4,0,0,0,232.2,287.21,-55.01
Daniel Jones,IND,QB,2881.9,17.2,9.9,408.4,3.4,0,0,0,225.52,287.21,-61.69
